month,state,permit,totals,Pop_est,Under_5years_%,Under_18years_%,Over_65years_%,Female_%,Black_African_alone_%
2016-12-01,Alabama,26996,62014,4863300,6.0,22.6,16.1,51.6,26.8
2016-11-01,Alabama,22628,50477,4863300,6.0,22.6,16.1,51.6,26.8
2016-10-01,Alabama,22979,43251,4863300,6.0,22.6,16.1,51.6,26.8
2016-09-01,Alabama,22014,41336,4863300,6.0,22.6,16.1,51.6,26.8
2016-08-01,Alabama,22987,42455,4863300,6.0,22.6,16.1,51.6,26.8
2016-07-01,Alabama,27765,48927,4863300,6.0,22.6,16.1,51.6,26.8
2016-06-01,Alabama,24802,44976,4863300,6.0,22.6,16.1,51.6,26.8
2016-05-01,Alabama,20092,36157,4863300,6.0,22.6,16.1,51.6,26.8
2016-04-01,Alabama,20959,41239,4863300,6.0,22.6,16.1,51.6,26.8
2016-03-01,Alabama,27829,55486,4863300,6.0,22.6,16.1,51.6,26.8
2016-02-01,Alabama,24746,77411,4863300,6.0,22.6,16.1,51.6,26.8
2016-01-01,Alabama,27242,73218,4863300,6.0,22.6,16.1,51.6,26.8
2016-12-01,Alaska,254,8786,741894,7.3,25.2,10.4,47.7,3.8
2016-11-01,Alaska,254,8514,741894,7.3,25.2,10.4,47.7,3.8
2016-10-01,Alaska,336,9383,741894,7.3,25.2,10.4,47.7,3.8
2016-09-01,Alaska,306,6867,741894,7.3,25.2,10.4,47.7,3.8
2016-08-01,Alaska,183,7194,741894,7.3,25.2,10.4,47.7,3.8
2016-07-01,Alaska,215,6793,741894,7.3,25.2,10.4,47.7,3.8
2016-06-01,Alaska,290,7406,741894,7.3,25.2,10.4,47.7,3.8
2016-05-01,Alaska,253,5991,741894,7.3,25.2,10.4,47.7,3.8
2016-04-01,Alaska,298,6867,741894,7.3,25.2,10.4,47.7,3.8
2016-03-01,Alaska,256,6982,741894,7.3,25.2,10.4,47.7,3.8
2016-02-01,Alaska,284,6779,741894,7.3,25.2,10.4,47.7,3.8
2016-01-01,Alaska,192,6085,741894,7.3,25.2,10.4,47.7,3.8
2016-12-01,Arizona,8900,44887,6931071,6.3,23.5,16.9,50.3,4.9
2016-11-01,Arizona,8398,39722,6931071,6.3,23.5,16.9,50.3,4.9
2016-10-01,Arizona,8072,34134,6931071,6.3,23.5,16.9,50.3,4.9
2016-09-01,Arizona,8641,33390,6931071,6.3,23.5,16.9,50.3,4.9
2016-08-01,Arizona,8752,33422,6931071,6.3,23.5,16.9,50.3,4.9
2016-07-01,Arizona,7863,34496,6931071,6.3,23.5,16.9,50.3,4.9
2016-06-01,Arizona,6371,32540,6931071,6.3,23.5,16.9,50.3,4.9
2016-05-01,Arizona,6941,28671,6931071,6.3,23.5,16.9,50.3,4.9
2016-04-01,Arizona,7230,32005,6931071,6.3,23.5,16.9,50.3,4.9
2016-03-01,Arizona,8078,35795,6931071,6.3,23.5,16.9,50.3,4.9
